question,subject,choices,answer
"According to Einstein's theory of the photoelectric effect, what is the predicted outcome when a metal surface of a photoelectric tube is exposed to light of varying frequency?",college_physics,"['work function of the metal is proportional to the frequency', 'work function of the metal is proportional to the wavelength', 'current in the tube is a linear function of the wavelength', 'potential difference necessary to stop the emitted electrons is a linear function of the frequency above the threshold frequency']",3
"Q: Given that the helium atom in its ground state needs 79.0 eV of energy to remove both electrons, what is the amount of energy required to ionize helium, meaning to take out one electron?",college_physics,"['24.6 eV', '39.5 eV', '51.8 eV', '54.4 eV']",0
Q: ___________________ started appearing on wireless access points a few years ago as a novel method for adding or connecting new devices.,computer_security,"['WPA2', 'WPA', 'WPS', 'WEP']",2
"In each round of DES, the length of the sub key is__________",computer_security,"['32', '56', '48', '64']",1
"Envision being on the surface of a planet that is contracting. If the planet reduces to a tenth of its initial diameter without a reduction in mass on the diminished surface, what would be your weight?",conceptual_physics,"['1/100 as much', '10 times as much', '100 times as much', '1000 times as much']",2
Which light model is most substantiated by the photoelectric effect?,conceptual_physics,"['wave model', 'particle model', 'Both of these', 'Neither of these']",1
"Q: The majority of an atom's mass is derived from its _ , while its volume is primarily derived from its _.",conceptual_physics,"['nucleons; nucleons.', 'electrons; electrons.', 'electrons; nucleons.', 'nucleons; electrons.']",3
Q: How is energy conveyed through a wave?,conceptual_physics,"['amplitude', 'wavelength', 'frequency', 'energy']",3
What is polarization a characteristic of?,conceptual_physics,"['transverse waves.', 'longitudinal waves.', 'all waves.', 'None of these.']",0
"Q: Ignoring the intercepts, what is the total number of parameters that need to be estimated for all equations of an unrestricted, tri-variate VAR(4) in standard form?",econometrics,"['12', '4', '3', '36']",3
Q: Which of the following claims about the regression population and sample is not true?,econometrics,"['The population is the total collection of all items of interest', 'The population can be infinite', 'In theory, the sample could be larger than the population', 'A random sample is one where each individual item from the population is equally likely to be drawn.']",2
What is utilized to safeguard the SCR against excessive current?,electrical_engineering,"['CB and fuse.', 'Heat sink.', 'Snubber circuit.', 'Voltage clamping device.']",0
Would the superposition theorem be applicable if all the elements in a specific network are linear and the excitation is?,electrical_engineering,"['DC only', 'AC only', 'Either AC or DC', 'An Impulse']",2
The growing popularity of electric drive is attributed to what reason?,electrical_engineering,"['all of below.', 'it provide smooth and easy control.', 'it is cheaper in cost.', 'it is simple and reliable.']",0
Q: What is the sum of 1 divided by 6 and 1 divided by 8?,elementary_mathematics,"['7 over 24', '2 over 14', '1 over 7', '1 over 4']",0
Q: Determine the solution for the equation where 6.73 is equal to z divided by 7.74. Confirm your solution.,elementary_mathematics,"['52.0902', '1.0112', '−1.0102', '51.5902']",0
"Q: By utilizing rounding, provide an estimation to the nearest tenth for the sum of 27.94 and 15.35.",elementary_mathematics,"['43.2', '43.3', '43.4', '43.29']",1
"Q: What is the total area in square centimeters of a shape that is composed of 12 identical right triangles, each with a base of 4 cm and a height of 5 cm?",elementary_mathematics,"['10', '60', '120', '240']",2
"Q: Coach Wu possesses a collection of 30 soccer balls in total, with 9 of them being white. The rest are divided equally among three different colors - blue, pink, and green. How many green soccer balls are in Coach Wu's possession?",elementary_mathematics,"['7', '10', '21', '39']",0
"Q: What is the result of the calculation 6 multiplied by 24, divided by the difference of 8 and 5?",elementary_mathematics,"['48', '13', '−13', '54']",0
"Q: What is the median value of the data set $79.88, $21.88, $29.88, $19.88, $17.88?",elementary_mathematics,"['$17.88 ', '$19.88 ', '$21.88 ', '$29.88 ']",2
"In the equation y/4 = 8, what does y equal to?",elementary_mathematics,"['2', '4', '12', '32']",3
"Create a comprehensive truth table for the given argument. Use this truth table to assess if the argument is valid or not. If the argument is found to be invalid, select an option providing a counterexample (even though there may be other counterexamples too).
(O ≡ P) ∨ P / P ∨ ~O",formal_logic,"['Valid', 'Invalid. Counterexample when O and P are true', 'Invalid. Counterexample when O is true and P is false', 'Invalid. Counterexample when P is true and O is false']",0
Q: Choose the most accurate translation into predicate logic for the statement: No artifacts are people.,formal_logic,"['~Pa', '(∀x)(Ax ⊃ ~Px)', '~Ap', '(∀x)(Ax • ~Px)']",1
Q: Which provided PL formula best symbolizes the sentence: Dylan does not like either math or science?,formal_logic,"['M ∨ S', '~(M • S)', '~(M ∨ S)', '~M ∨ ~S']",2
What was the percentage of the Indian population living in urban areas as of 2017?,global_facts,"['19%', '34%', '49%', '64%']",1
What percentage of deaths in Greenland was accounted for by suicide as of 2017?,global_facts,"['0.90%', '1.80%', '3.60%', '7.20%']",3
"What is the purpose of fermentation considering that the final product, ethanol, contains a significant amount of energy but is considered waste for the yeast cells that produce it?",high_school_biology,"['Fermentation provides CO2 for photosynthesis.', 'Fermentation provides CO2 for cellular respiration.', 'Yeast cells excrete ethanol in order to provide a defense against invading bacteria.', 'Fermentation replenishes the NAD+ necessary for glycolysis to continue.']",3
"If pike-cichlids, who are visual predators, hypothetically preyed on a population of algae-eating fish, which outcome would you least expect to see in the algae-eater population over multiple generations?",high_school_biology,"['Selection for drab coloration of the algae-eaters', 'Selection for nocturnal algae-eaters (active only at night)', 'Selection for larger female algae-eaters, bearing broods composed of more, and larger, young', 'Selection for algae-eaters that become sexually mature at smaller overall body sizes']",2
"Q: Cuvier proposed the concept of catastrophism, the frequent occurrence of geological or meteorological disruptions (catastrophes), as an explanation for the existence of what?",high_school_biology,"['evolution.', 'the fossil record.', 'uniformitarianism.', 'the origin of new species.']",1
"Despite the consistent and expected rate of mutations, which option below is the least probable explanation for the seemingly low mutation frequency?",high_school_biology,"['Some mutations produce alleles that are recessive and may not be expressed.', 'Some undesirable phenotypic traits may be prevented from reproducing.', 'Some mutations cause such drastic phenotypic changes that they are removed from the gene pool.', 'The predictable rate of mutation results in ongoing variability in a gene pool.']",3
Q: Which of the following options most accurately describes the nature and importance of a Barr body?,high_school_biology,"['It is an inactivated Y chromosome and results in a man being sterile.', 'It is an inactivated Y chromosome, and the person who has it appears female.', 'It is an inactivated X chromosome and results in females with half their cells having one X inactivated and the other half of their cells having the other X inactivated.', 'It is an inactivated X chromosome and results in females who are sterile.']",2
Q: In which biome would you find plants that are unable to root deeply due to the existence of a permafrost layer?,high_school_biology,"['Desert', 'Tundra', 'Taiga', 'Deciduous forests']",2
"To create a buffer, what should a student combine with a liter of a 0.100 M solution of a strong acid?",high_school_chemistry,"['a strong acid', 'a weak acid', 'a weak base', 'a strong base']",2
"Because sulfuric acid is considerably more potent, it is a strong acid, whereas sulfurous acid is characterized as a weak acid due to...",high_school_chemistry,"['the O–H bonds in sulfuric acid are much weaker than in sulfurous acid due to the electron withdrawing of the oxygen atoms on sulfuric acid', 'sulfuric acid has more oxygen atoms in its formula', 'the sulfur in sulfuric acid is more electronegative than the sulfur in sulfurous acid', 'sulfuric acid has the hydrogen atoms bound directly to the sulfur atom']",0
"Q: Given that the electronegativity value of nitrogen falls between that of phosphorus and oxygen, which choice accurately portrays the relationship among these three values?",high_school_chemistry,"['The value for nitrogen is less than that of phosphorus because nitrogen is larger, but greater than that of oxygen because nitrogen has a greater effective nuclear charge.', 'The value for nitrogen is less than that of phosphorus because nitrogen has fewer protons but greater than that of oxygen because nitrogen has less valence electrons.', 'The value for nitrogen is greater than that of phosphorus because nitrogen has less electrons, but less than that of oxygen because nitrogen is smaller.', 'The value for nitrogen is greater than that of phosphorus because nitrogen is smaller, but less than that of oxygen because nitrogen has a smaller effective nuclear charge.']",3
Q: Which of the following net ionic equations correctly illustrates a potential reaction that occurs when a magnesium metal strip is oxidized using a chromium (III) nitrate solution?,high_school_chemistry,"['Mg(s) + Cr(NO3)3(aq) → Mg2+(aq) + Cr3+(aq) + 3NO3-(aq)', '3Mg(s) + 2Cr3+ → 3Mg2+ + 2Cr(s)', 'Mg(s) + Cr3+ → Mg2+ + Cr(s)', '3Mg(s) + 2Cr(NO3)3(aq) → 3Mg2+(aq) + 2Cr(s) + NO3-(aq)']",1
"What does ['a', 'Chemistry', 0, 1][1] represent in Python 3?",high_school_computer_science,"['a', 'Chemistry', '0', '1']",1
Which of the following options is the least probable to suggest a phishing attack?,high_school_computer_science,"['An e-mail from your bank asks you to call the number on your card to verify a transaction', 'An e-mail from a merchant asks that you click on a link to reset your password', 'An e-mail from a utility company asks you to enter your date of birth and social security number for verification purposes', 'An e-mail indicates that you have won a large sum of money and asks you to enter your bank account number so that the money can be transferred to you']",0
"Based on the given text, the educational institutions established by the Medici family predominantly endorsed a philosophy referred to as",high_school_european_history,"['Neoclassicism', 'Scholasticism', 'Renaissance humanism', 'Neoplatonism']",3
"In the context of the seventeenth century French health and hunger crisis, as described in the Estates of Normandy report from 1651, which factor had the LEAST impact?",high_school_european_history,"['Low-productivity agricultural practices', 'Adverse weather', 'Low taxes on the peasants and middle class', 'Poor transportation']",2
"From the excerpt, it can be inferred that Locke thought a government becomes illegitimate when",high_school_european_history,"['it is weak and can be overthrown', 'when the people wish to change governors', 'when it becomes corrupt', 'it tries to exercise absolute power']",3
What is the term for the spatial aggregation of production activities and people that benefits everyone?,high_school_geography,"['the substitution principle.', 'deglomeration.', 'agglomeration.', 'infrastructure.']",2
Which of the following regions have primarily made up the migration streams into the United States from 1980 to now?,high_school_geography,"['Europe and North Africa', 'Asia and Latin America', 'Sub-Saharan Africa and Oceania', 'Central Europe and Australia']",1
Which of the following does NOT represent a feature of global cities?,high_school_geography,"['World cities contain the headquarters of many transnational corporations.', 'World cities are well connected to secondary-level world cities.', 'World cities contain many offices of multinational organizations.', 'World cities are found only in the northern and western hemispheres.']",3
Q: Which among the options below can be considered as a push factor?,high_school_geography,"['Dissatisfaction with current jobs', 'Higher-paying jobs elsewhere', 'An attractive retirement community elsewhere', 'A pleasant climate']",0
Q: Which of the following options best characterizes the privacy rights of American citizens?,high_school_government_and_politics,"['The right to privacy is determined entirely by the states on a case-by-case basis.', 'The right to privacy is explicitly granted in the Preamble to the Constitution.', 'The Supreme Court has ruled that the right to privacy is implied by the Bill of Rights.', ""Common law requires the government to respect citizens' right to privacy.""]",2
"In an effort to safeguard independent regulatory agencies from political interference, Congress has mandated that each agency...",high_school_government_and_politics,"['be led by a group of commissioners representing both major political parties', 'plan policy cooperatively with the appropriate congressional committees', 'reapply for funding at the end of each fiscal year', 'submit all planned policy changes to the president for approval']",0
Q: What were two connected legal cases that concentrated on the right to privacy for all citizens of America?,high_school_government_and_politics,"['Near v. Minnesota and New York Times v. Sullivan', 'Texas v. Johnson and Morse v. Frederick', 'Thornhill v. Alabama and Cox v. New Hampshire', 'Griswold v. Connecticut and Roe v. Wade.']",3
What are the categories of expenditure that are disbursed without the requirement of an appropriations bill?,high_school_government_and_politics,"['Department of Education special acts and authorizations', 'Justice department budgets', 'Federal budget entitlements', 'Department of Defense funding']",2
What does it mean when a country is functioning at the natural rate of unemployment?,high_school_macroeconomics,"['there is no cyclical unemployment.', 'the inflation rate is zero.', 'there is no structural unemployment.', 'the nation is experiencing a recession.']",0
What does national income measure?,high_school_macroeconomics,"['household income in the nation.', 'income earned by the factors of production.', 'GDP minus depreciation and indirect business taxes.', '(B) (C) and (D).']",3
What does Say's law state?,high_school_macroeconomics,"['when price goes up supply goes up', 'it is better to give than receive', 'demand creates its own supply', 'supply creates its own demand']",3
Q: The GDP Deflator I. is utilized for determining inflation rates. II. serves as a substitute for the CPI. III. provides more precise results than the CPI.,high_school_macroeconomics,"['Only I is true.', 'I and II are true.', 'I and III are true.', 'II and III are true.']",1
"If we consider a scenario where the price level in the United States has increased over the previous year, but the production of goods and services has stayed the same, which of the following would be accurate? NOMINAL GDP     REAL GDP",high_school_macroeconomics,"['Increased \xa0\xa0\xa0 Increased', 'No change \xa0\xa0\xa0 Decreased', 'Decreased \xa0\xa0\xa0 Decreased', 'Increased \xa0\xa0\xa0 Decreased']",3
What does the equation of exchange imply?,high_school_macroeconomics,"['M stands for the money supply and Q stands for quality.', 'V stands for the velocity of GDP and Q stands for quality.', 'P stands for the price level and Q stands for quarter.', 'P stands for the price level and V stands for the velocity of money.']",3
What does X represent in the equation GDP = C + I + G + X?,high_school_macroeconomics,"['exports.', 'expenditures.', 'exports minus imports.', 'imports minus exports.']",2
"When a country is experiencing a balance of payments deficit, it implies that it has",high_school_macroeconomics,"['imported more than it has exported.', 'exported more than it has imported.', 'taken in more money than it has sent abroad.', 'lowered its official reserve position.']",3
Q: What is the digit in the ones place of the product when $1 \cdot 2 \cdot 3 \cdot 4 \cdot 5 \cdot 6 \cdot 7 \cdot 8 \cdot 9$ is multiplied?,high_school_mathematics,"['1', '2', '0', '5']",2
Q: Calculate the total value of the series \[\frac{1}{2^1} + \frac{2}{2^2} + \frac{3}{2^3} + \cdots + \frac{k}{2^k} + \cdots \],high_school_mathematics,"['\\infty', '1', '2', '4']",2
"Q: Considering a virus that doubles the number of infected individuals every 3 days is spreading in a town with a population of 1,000, and 10 people were infected on January 1st, what is the soonest date on which the entire town could be infected, bearing in mind that a year has 365 days and January has 31 days?",high_school_mathematics,"['January 10th', 'January 21st', 'January 31st', 'February 10th']",1
"Q: Determine the length of the curve represented by y = ln x, specifically between the points at which y equals 1/2 and y equals 1.",high_school_mathematics,"['0.53', '0.86', '1.18', '1.36']",2
"Q: If $p$, $q$, and $r$ are constants and the equation $(x-p)(x-q) = (r-p)(r-q)$ has $x=r$ as one solution, what is the other solution expressed in terms of $p$, $q$, and $r$?",high_school_mathematics,"['pqr', 'pq-r', 'p-q-r', 'p+q-r']",3
What is the situation when a monopolist has reached the peak of profit maximization?,high_school_microeconomics,"['price is set equal to marginal cost, creating zero economic profit.', 'output is set where price is equal to average total cost.', 'price is set above marginal cost, creating allocative inefficiency.', 'any short-run profit will be eliminated through the long-run entry of new firms.']",2
"Given that Ray and Dorothy both have the ability to cook and weed the garden on a Saturday afternoon, and that in an hour of cooking, Ray can pull 50 weeds while Dorothy can pull 100, what can be concluded?",high_school_microeconomics,"['Ray pulls weeds, since he has absolute advantage in cooking.', 'Dorothy pulls weeds, since she has absolute advantage in cooking.', 'Dorothy cooks, since she has comparative advantage in cooking.', 'Ray cooks, since he has comparative advantage in cooking.']",3
"Q: Out of the options below, which one is most likely to have a demand curve with the least flexibility or elasticity?",high_school_microeconomics,"[""Demand for the perfectly competitive firm's output"", ""Demand for the oligopoly firm's output with a homogenous product"", ""Demand for the oligopoly firm's output with a differentiated product"", ""Demand for the monopoly firm's output""]",3
When is the elasticity of supply generally considered to be greater?,high_school_microeconomics,"['producers have fewer alternative goods to produce.', 'producers have less time to respond to price changes.', 'producers are operating near the limits of their production.', 'producers have more time to respond to price changes.']",3
Which of the following is a demonstration of the demand curve an oligopolist encounters when competing firms lower their prices but do not raise them?,high_school_microeconomics,"['Perfectly horizontal demand curve.', 'Highly inelastic demand curve.', 'Highly elastic demand curve.', 'A demand curve consisting of two discontinuous segments.']",3
"During an experiment conducted on an ideal gas, data is gathered where the temperature (measured in K) serves as the independent variable and the volume (expressed in m^3) is the dependent variable. If a graph is created with the dependent variable on the y-axis, what can be inferred about the slope and y-intercept of this graph?",high_school_physics,"['The slope will be linearly proportional to the pressure of the gas and the intercept will be 0 m^3.', 'The slope will be inversely proportional to the pressure of the gas and the intercept will be 0 m^3.', 'The slope will be linearly proportional to the pressure of the gas and the intercept will not be 0 m^3.', 'The slope will be inversely proportional to the pressure of the gas and the intercept will not be 0 m^3.']",1
"Q: Which force, or combination of forces, is responsible for a horse-cart system, initially at rest, to commence acceleration when the horse is attached to it?",high_school_physics,"['The forward static friction force of the ground on the horse is greater than any friction forces acting backward on the cart, providing a forward acceleration.', 'The forward force of the horse on the cart is greater than the backward force of the cart on the horse, providing a forward acceleration.', 'The force of the horse’s muscles on the rest of the horse-cart system provides the necessary acceleration.', 'The upward normal force of the ground on the horse is greater than the horse’s weight, providing an upward acceleration.']",0
"Two large particles carrying a charge are secluded from all interactions except those occurring between them. If their charge and mass are such that the total force between them is 0 N, which statement does NOT hold true?",high_school_physics,"['The particles must have the same sign of charge.', 'If the distance between the particles changes, the force will no longer be 0 N.', 'The particles must have the same mass.', 'Such a situation is impossible as the net force between the two particles cannot be 0.']",0
What does the term iconic memory refer to?,high_school_psychology,"['visual sensory registries', 'olfactory sensory registries', 'frontal sensory registries', 'STM sensory registries']",0
Q: Which among the given responses was probably learned through the process of classical conditioning?,high_school_psychology,"['The anxiety reaction of a woman who is driving on the highway for the first time after being involved in a major accident on that highway', 'The frightened cry of a baby who is disoriented upon waking up from a nap', 'The uncontrollable blinking of a contact lens wearer who has just gotten something in his eye', 'The startled cry of a child who has just been awakened in the middle of the night by a loud clap of thunder']",0
"Ty's actions during a team tug of war, where he didn't exert as much effort as he would have in a one-on-one competition, is an example of what?",high_school_psychology,"['deindividuation', 'groupthink', 'social loafing', 'bystander effect']",2
Which among the listed scans is capable of imaging the functionality of the brain?,high_school_psychology,"['I only', 'II only', 'III only', 'II and III only']",2
Q: Which of the following conditions is caused by a defect in the twenty-first pair of chromosomes?,high_school_psychology,"['Bipolar disorder', ""Huntington's Chorea"", 'Down syndrome', 'Obsessive-compulsive disorder']",2
"What are the two ""cognitive shortcuts"" that can potentially cause mistakes in information processing?",high_school_psychology,"['the representativeness heuristic and the availability heuristic', 'inductive reasoning and deductive reasoning', 'morphemic processing and phonemic processing', 'prototypic development and fuzzy concept development']",0
"At the beginning of the twentieth century in Western Europe, which perspective on psychology was most widely accepted?",high_school_psychology,"['neuroscience', 'evolutionary', 'behaviorist', 'psychoanalytic']",3
"A piano instructor is guiding a pupil in mastering a new composition. Initially, the instructor lauds the pupil for accurately playing the notes. Once the pupil starts to exhibit skill in playing the notes, the instructor reserves praise for when the pupil correctly incorporates dynamics and interpretation into the sections he performs. What type of training technique is the instructor using in this scenario?",high_school_psychology,"['Negative reinforcement', 'Negative punishment', 'Shaping', 'Chaining']",2
"Which of the following are implications for humans from Harlow's study, which involved baby monkeys being raised by artificial mothers?",high_school_psychology,"['I only', 'II only', 'III only', 'I and II only']",1
Which part of the nervous system primarily regulates the physiological responses to shocks or surprises?,high_school_psychology,"['somatic nervous system', 'sympathetic nervous system', 'endocrine system', 'serotonin system']",1
Q: Which of the following statistical measures offers the most insight into the dispersion of a distribution of scores?,high_school_psychology,"['variance', 'mean', 'range', 'median']",0
Which of these options provides the most accurate description of a P-value?,high_school_statistics,"['The probability of making a Type I error.', 'The probability of making a Type II error.', 'The probability of rejecting the null hypothesis if it is, in fact, false.', 'The probability of getting a test statistic at least as extreme as the observed test statistic, if the null hypothesis is true.']",3
"If a specific score ranks at the 40th percentile in one class and at the 80th percentile in another class, both taking the same examination, what would be the most plausible inference?",high_school_statistics,"['Students in the first class generally scored higher than students in the second class.', 'Students in the second class generally scored higher than students in the first class.', 'A score at the 20th percentile for the first class is at the 40th percentile for the second class.', 'A score at the 50th percentile for the first class is at the 90th percentile for the second class.']",0
"Assuming no students are absent, if a researcher intends to gather the viewpoints of students at your high school by choosing every twenty-fifth student who arrives in the morning, would this produce a simple random sample of the student population?",high_school_statistics,"['Yes, because every student has the same chance of being selected.', 'Yes, but only if there is a single entrance to the school.', 'Yes, because the 24 out of every 25 students who are not selected will form a control group.', 'No, because not every sample of the intended size has an equal chance of being selected.']",3
"What would be the outcome of a type I error in the situation where the Department of Health is testing the lead content in a park's soil, with the understanding that a lead level above the permissible limit, which poses a risk to children, would lead to the park's closure? The department is selecting various spots within the park randomly for soil sample collection and subsequent lead level testing.",high_school_statistics,"['Closing the park when the lead levels are within the allowed limit', 'Keeping the park open when the lead levels are in excess of the allowed limit', 'Closing the park when the lead levels are in excess of the allowed limit', 'Keeping the park open when the lead levels are within the allowed limit']",0
Which of the following was most directly prompted by Kennedy's speech?,high_school_us_history,"['The Vietnam War', 'The Mutually Assured Destruction (MAD) nuclear strategy', 'The Apollo space program', 'The Great Society social programs']",2
Which statement best describes the economic implications of the war declaration mentioned in the above excerpt?,high_school_us_history,"['Decreased trade with Asian nations precipitated economic recession in both the United States and Europe.', 'The war-ravaged condition of Asia and Europe allowed the United States to emerge as one of the most prosperous nations on Earth.', 'Cold War tensions isolated the economies of both the Soviet Union and the United States, leading to economic struggle for both nations.', 'Japan was subsequently required to pay reparations to the United States, forcing it into a prolonged depression.']",1
"Based on the provided excerpts, which inference is most strongly supported?",high_school_us_history,"['In the 1990s, anti-government sentiment, in response to excessive uses of federal power to resolve domestic conflicts, inspired militia groups and lone vigilantes, such as Timothy McVeigh.', 'In 1993 Attorney General Janet Reno launched an offensive against the Branch Davidian cult led by Timothy McVeigh, later drawing criticism from Congress for her heavy-handed approach.', 'Fearing a rise in anti-government sentiment after the Oklahoma City bombing, Attorney General Janet Reno sent troops to quell the Branch Davidian Cult Standoff, and later faced congressional criticism.', 'Attorney General Janet Reno resigned from office in part due to Congressional pressure put on President Clinton by Representative John Conyers.']",0
"Regarding the information provided, between 1820 and 1854, which country was the largest source of immigrants to the United States?",high_school_us_history,"['France', 'Russia', 'England', 'Ireland']",3
Which of the following movements is the author of the provided excerpt most closely linked with?,high_school_world_history,"['Existentialism', 'Religious fundamentalism', 'New age syncretism', 'Liberation theology']",0
Which event or period in Japan's history most accurately aligns with the worries expressed by Lord Ii?,high_school_world_history,"['The expulsion of Christian missionaries from Japan', 'The adoption of Chinese imperial customs in the Japanese court', 'The annexation of Manchuria by the Japanese', 'Commodore Perry forcing Japan to open its ports to trade']",3
"Which historical event validates Stalin's push for Russia's progression, as explained through his reference to the nation's ""continual beatings""?",high_school_world_history,"['The Space Race with the United States', 'The Polish-Soviet War in the early 1920s', 'The Western intervention in the Russian Civil War', 'The German invasion of Russia in 1941']",3
Who is primarily accountable for the creation of the above constitutions?,high_school_world_history,"['Nationalist movements advocating pan-Americanism', 'Revolts organized by provincial elites in Latin American nations', 'Aboriginal natives gathering the support of provincials to create constitutions', 'Colonial powers preparing their colonies for independence']",1
Which of the following insights about revolutions and gender is most convincingly backed up by the first passage?,high_school_world_history,"['Revolutionary progressivism does not always concern itself with gender equality.', 'Women typically assume leadership roles during times of revolution.', 'Women rarely support revolutions and therefore receive little benefit from them.', ""Revolutionary movements are generally uninterested in women's rights.""]",0
Q: A key distinction between programmed and unprogrammed theories of aging is that programmed theories...,human_aging,"['Attribute senescence only to environmental factors', 'Are far too difficulty to test', 'Claim that senescence follows a predetermined plan', 'Rely too heavily on computer models']",2
